VEHICLE_TYPE,RTO_REGION,REGISTRATIONS,YEAR,MONTH,,,,,
Trucks and Lorries,KR Puram,10430,2020,DECEMBER,,,,,
Trucks and Lorries,Jnana Bharati,6861,2020,DECEMBER,,,,,
Trucks and Lorries,Electronic City,17053,2020,DECEMBER,,,,,
Trucks and Lorries,Yelahanka,6123,2020,DECEMBER,,,,,
Trucks and Lorries,Devanahalli,4120,2020,DECEMBER,,,,,
Trucks and Lorries,Chandapura,8733,2020,DECEMBER,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18535,2020,DECEMBER,,,,,
Light Goods Four Wheeler,BNG WEST,16075,2020,DECEMBER,,,,,
Light Goods Four Wheeler,BNG EAST,9751,2020,DECEMBER,,,,,
Light Goods Four Wheeler,BNG NORTH,16505,2020,DECEMBER,,,,,
Light Goods Four Wheeler,BNG SOUTH,25323,2020,DECEMBER,,,,,
Light Goods Four Wheeler,KR Puram,18271,2020,DECEMBER,,,,,
Light Goods Four Wheeler,Jnana Bharati,12845,2020,DECEMBER,,,,,
Light Goods Four Wheeler,Electronic City,25102,2020,DECEMBER,,,,,
Light Goods Four Wheeler,Yelahanka,7119,2020,DECEMBER,,,,,
Light Goods Four Wheeler,Devanahalli,5147,2020,DECEMBER,,,,,
Light Goods Four Wheeler,Chandapura,15648,2020,DECEMBER,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9086,2020,DECEMBER,,,,,
Light Goods Three Wheeler,BNG WEST,15548,2020,DECEMBER,,,,,
Light Goods Three Wheeler,BNG EAST,6865,2020,DECEMBER,,,,,
Light Goods Three Wheeler,BNG NORTH,6179,2020,DECEMBER,,,,,
Light Goods Three Wheeler,BNG SOUTH,11415,2020,DECEMBER,,,,,
Light Goods Three Wheeler,KR Puram,2182,2020,DECEMBER,,,,,
Light Goods Three Wheeler,Jnana Bharati,4643,2020,DECEMBER,,,,,
Light Goods Three Wheeler,Electronic City,3323,2020,DECEMBER,,,,,
Light Goods Three Wheeler,Yelahanka,1129,2020,DECEMBER,,,,,
Light Goods Three Wheeler,Devanahalli,768,2020,DECEMBER,,,,,
Light Goods Three Wheeler,Chandapura,816,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10936,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,259,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,663,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,KR Puram,590,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,107,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,Electronic City,1009,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,Yelahanka,16,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,Devanahalli,59,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2021,JANUARY,,,,,
Trucks and Lorries,BNG CENTRAL,57022,2021,JANUARY,,,,,
Trucks and Lorries,BNG WEST,16807,2021,JANUARY,,,,,
Trucks and Lorries,BNG EAST,10106,2021,JANUARY,,,,,
Trucks and Lorries,BNG NORTH,12391,2021,JANUARY,,,,,
Trucks and Lorries,BNG SOUTH,22884,2021,JANUARY,,,,,
Trucks and Lorries,KR Puram,10470,2021,JANUARY,,,,,
Trucks and Lorries,Jnana Bharati,6877,2021,JANUARY,,,,,
Trucks and Lorries,Electronic City,17161,2021,JANUARY,,,,,
Trucks and Lorries,Yelahanka,6132,2021,JANUARY,,,,,
Trucks and Lorries,Devanahalli,4125,2021,JANUARY,,,,,
Trucks and Lorries,Chandapura,8754,2021,JANUARY,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18589,2021,JANUARY,,,,,
Light Goods Four Wheeler,BNG WEST,16152,2021,JANUARY,,,,,
Light Goods Four Wheeler,BNG EAST,9825,2021,JANUARY,,,,,
Light Goods Four Wheeler,BNG NORTH,16586,2021,JANUARY,,,,,
Light Goods Four Wheeler,BNG SOUTH,25394,2021,JANUARY,,,,,
Light Goods Four Wheeler,KR Puram,18388,2021,JANUARY,,,,,
Light Goods Four Wheeler,Jnana Bharati,12916,2021,JANUARY,,,,,
Light Goods Four Wheeler,Electronic City,25240,2021,JANUARY,,,,,
Light Goods Four Wheeler,Yelahanka,7154,2021,JANUARY,,,,,
Light Goods Four Wheeler,Devanahalli,5172,2021,JANUARY,,,,,
Light Goods Four Wheeler,Chandapura,15679,2021,JANUARY,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9103,2021,JANUARY,,,,,
Light Goods Three Wheeler,BNG WEST,15566,2021,JANUARY,,,,,
Light Goods Three Wheeler,BNG EAST,6882,2021,JANUARY,,,,,
Light Goods Three Wheeler,BNG NORTH,6205,2021,JANUARY,,,,,
Light Goods Three Wheeler,BNG SOUTH,11446,2021,JANUARY,,,,,
Light Goods Three Wheeler,KR Puram,2187,2021,JANUARY,,,,,
Light Goods Three Wheeler,Jnana Bharati,4669,2021,JANUARY,,,,,
Light Goods Three Wheeler,Electronic City,3427,2021,JANUARY,,,,,
Light Goods Three Wheeler,Yelahanka,1134,2021,JANUARY,,,,,
Light Goods Three Wheeler,Devanahalli,771,2021,JANUARY,,,,,
Light Goods Three Wheeler,Chandapura,817,2021,JANUARY,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10945,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,259,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,663,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,KR Puram,590,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,107,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,Electronic City,1012,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,Yelahanka,16,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,Devanahalli,59,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2021,FEBRUARY,,,,,
Trucks and Lorries,BNG CENTRAL,57140,2021,FEBRUARY,,,,,
Trucks and Lorries,BNG WEST,16842,2021,FEBRUARY,,,,,
Trucks and Lorries,BNG EAST,10109,2021,FEBRUARY,,,,,
Trucks and Lorries,BNG NORTH,12411,2021,FEBRUARY,,,,,
Trucks and Lorries,BNG SOUTH,22890,2021,FEBRUARY,,,,,
Trucks and Lorries,KR Puram,10496,2021,FEBRUARY,,,,,
Trucks and Lorries,Jnana Bharati,6899,2021,FEBRUARY,,,,,
Trucks and Lorries,Electronic City,17311,2021,FEBRUARY,,,,,
Trucks and Lorries,Yelahanka,6147,2021,FEBRUARY,,,,,
Trucks and Lorries,Devanahalli,4127,2021,FEBRUARY,,,,,
Trucks and Lorries,Chandapura,8762,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18652,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,BNG WEST,16230,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,BNG EAST,9869,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,BNG NORTH,16660,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,BNG SOUTH,25451,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,KR Puram,18472,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,Jnana Bharati,12987,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,Electronic City,25374,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,Yelahanka,7176,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,Devanahalli,5194,2021,FEBRUARY,,,,,
Light Goods Four Wheeler,Chandapura,15693,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9123,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,BNG WEST,15587,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,BNG EAST,6897,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,BNG NORTH,6220,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,BNG SOUTH,11477,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,KR Puram,2191,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,Jnana Bharati,4694,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,Electronic City,3466,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,Yelahanka,1137,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,Devanahalli,775,2021,FEBRUARY,,,,,
Light Goods Three Wheeler,Chandapura,817,2021,FEBRUARY,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10953,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,BNG EAST,729,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,259,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,663,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,KR Puram,601,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,107,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,Electronic City,1012,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,Yelahanka,16,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,Devanahalli,59,2021,MARCH,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2021,MARCH,,,,,
Trucks and Lorries,BNG CENTRAL,57276,2021,MARCH,,,,,
Trucks and Lorries,BNG WEST,16902,2021,MARCH,,,,,
Trucks and Lorries,BNG EAST,10119,2021,MARCH,,,,,
Trucks and Lorries,BNG NORTH,12416,2021,MARCH,,,,,
Trucks and Lorries,BNG SOUTH,22912,2021,MARCH,,,,,
Trucks and Lorries,KR Puram,10558,2021,MARCH,,,,,
Trucks and Lorries,Jnana Bharati,6915,2021,MARCH,,,,,
Trucks and Lorries,Electronic City,17478,2021,MARCH,,,,,
Trucks and Lorries,Yelahanka,6166,2021,MARCH,,,,,
Trucks and Lorries,Devanahalli,4129,2021,MARCH,,,,,
Trucks and Lorries,Chandapura,8787,2021,MARCH,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18751,2021,MARCH,,,,,
Light Goods Four Wheeler,BNG WEST,16300,2021,MARCH,,,,,
Light Goods Four Wheeler,BNG EAST,9932,2021,MARCH,,,,,
Light Goods Four Wheeler,BNG NORTH,16744,2021,MARCH,,,,,
Light Goods Four Wheeler,BNG SOUTH,25550,2021,MARCH,,,,,
Light Goods Four Wheeler,KR Puram,18573,2021,MARCH,,,,,
Light Goods Four Wheeler,Jnana Bharati,13070,2021,MARCH,,,,,
Light Goods Four Wheeler,Electronic City,25564,2021,MARCH,,,,,
Light Goods Four Wheeler,Yelahanka,7210,2021,MARCH,,,,,
Light Goods Four Wheeler,Devanahalli,5220,2021,MARCH,,,,,
Light Goods Four Wheeler,Chandapura,15711,2021,MARCH,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9144,2021,MARCH,,,,,
Light Goods Three Wheeler,BNG WEST,15606,2021,MARCH,,,,,
Light Goods Three Wheeler,BNG EAST,6927,2021,MARCH,,,,,
Light Goods Three Wheeler,BNG NORTH,6237,2021,MARCH,,,,,
Light Goods Three Wheeler,BNG SOUTH,11513,2021,MARCH,,,,,
Light Goods Three Wheeler,KR Puram,2194,2021,MARCH,,,,,
Light Goods Three Wheeler,Jnana Bharati,4719,2021,MARCH,,,,,
Light Goods Three Wheeler,Electronic City,3523,2021,MARCH,,,,,
Light Goods Three Wheeler,Yelahanka,1141,2021,MARCH,,,,,
Light Goods Three Wheeler,Devanahalli,777,2021,MARCH,,,,,
Light Goods Three Wheeler,Chandapura,817,2021,MARCH,,,,,
