VEHICLE_TYPE,RTO_REGION,REGISTRATIONS,YEAR,MONTH,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10922,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,258,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,662,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,KR Puram,589,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,106,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,Electronic City,1008,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,Yelahanka,15,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,Devanahalli,57,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2020,JUNE,,,,,
Trucks and Lorries,BNG CENTRAL,56592,2020,JUNE,,,,,
Trucks and Lorries,BNG WEST,16710,2020,JUNE,,,,,
Trucks and Lorries,BNG EAST,10050,2020,JUNE,,,,,
Trucks and Lorries,BNG NORTH,12306,2020,JUNE,,,,,
Trucks and Lorries,BNG SOUTH,22817,2020,JUNE,,,,,
Trucks and Lorries,KR Puram,10338,2020,JUNE,,,,,
Trucks and Lorries,Jnana Bharati,6808,2020,JUNE,,,,,
Trucks and Lorries,Electronic City,16670,2020,JUNE,,,,,
Trucks and Lorries,Yelahanka,6096,2020,JUNE,,,,,
Trucks and Lorries,Devanahalli,4099,2020,JUNE,,,,,
Trucks and Lorries,Chandapura,8686,2020,JUNE,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18338,2020,JUNE,,,,,
Light Goods Four Wheeler,BNG WEST,15822,2020,JUNE,,,,,
Light Goods Four Wheeler,BNG EAST,9485,2020,JUNE,,,,,
Light Goods Four Wheeler,BNG NORTH,16139,2020,JUNE,,,,,
Light Goods Four Wheeler,BNG SOUTH,24895,2020,JUNE,,,,,
Light Goods Four Wheeler,KR Puram,17762,2020,JUNE,,,,,
Light Goods Four Wheeler,Jnana Bharati,12578,2020,JUNE,,,,,
Light Goods Four Wheeler,Electronic City,24463,2020,JUNE,,,,,
Light Goods Four Wheeler,Yelahanka,6967,2020,JUNE,,,,,
Light Goods Four Wheeler,Devanahalli,5051,2020,JUNE,,,,,
Light Goods Four Wheeler,Chandapura,15550,2020,JUNE,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9011,2020,JUNE,,,,,
Light Goods Three Wheeler,BNG WEST,15439,2020,JUNE,,,,,
Light Goods Three Wheeler,BNG EAST,6668,2020,JUNE,,,,,
Light Goods Three Wheeler,BNG NORTH,6061,2020,JUNE,,,,,
Light Goods Three Wheeler,BNG SOUTH,11288,2020,JUNE,,,,,
Light Goods Three Wheeler,KR Puram,2152,2020,JUNE,,,,,
Light Goods Three Wheeler,Jnana Bharati,4486,2020,JUNE,,,,,
Light Goods Three Wheeler,Electronic City,3031,2020,JUNE,,,,,
Light Goods Three Wheeler,Yelahanka,1110,2020,JUNE,,,,,
Light Goods Three Wheeler,Devanahalli,739,2020,JUNE,,,,,
Light Goods Three Wheeler,Chandapura,815,2020,JUNE,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10922,2020,JULY,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2020,JULY,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2020,JULY,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,258,2020,JULY,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,662,2020,JULY,,,,,
Multi Axled Articulated Vehicle,KR Puram,589,2020,JULY,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,106,2020,JULY,,,,,
Multi Axled Articulated Vehicle,Electronic City,1008,2020,JULY,,,,,
Multi Axled Articulated Vehicle,Yelahanka,15,2020,JULY,,,,,
Multi Axled Articulated Vehicle,Devanahalli,57,2020,JULY,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2020,JULY,,,,,
Trucks and Lorries,BNG CENTRAL,56593,2020,JULY,,,,,
Trucks and Lorries,BNG WEST,16714,2020,JULY,,,,,
Trucks and Lorries,BNG EAST,10050,2020,JULY,,,,,
Trucks and Lorries,BNG NORTH,12308,2020,JULY,,,,,
